estado;C.city;C.estado;C.idCity;idEstado
AR;Jonesboro;AR;2485;2
AR;Jonesboro;AR;2484;2
AR;Cabot;AR;732;2
AR;Helena-West Helena;AR;2108;2
AR;Cabot;AR;731;2
AR;Helena;AR;2106;2
AR;Fayetteville;AR;1649;2
AR;Mountain Pine;AR;3488;2
AR;Fayetteville;AR;1648;2
AR;Desha;AR;1376;2
AR;Formosa;AR;1704;2
AR;Forrest City;AR;1705;2
AR;Lowell;AR;3089;2
AR;Lowell;AR;3091;2
AR;Rector;AR;4339;2
AR;Marion;AR;3181;2
AR;Forrest City;AR;1706;2
AR;Fort Smith;AR;1734;2
AR;West Memphis;AR;5594;2
AR;Jonesboro;AR;2483;2
AR;West Memphis;AR;5592;2
AR;West Memphis;AR;5593;2
AR;Springdale;AR;4961;2
AR;Springdale;AR;4962;2
AR;Batesville;AR;428;2
AR;Springdale;AR;4960;2
AR;Fayetteville;AR;1642;2
AR;Fayetteville;AR;1643;2
AR;Little Rock;AR;2900;2
AR;Dover;AR;1410;2
AR;Austin;AR;320;2
AR;Jacksonville;AR;2428;2
AR;Little Rock;AR;2901;2
AR;Bull Shoals;AR;700;2
AR;Little Rock;AR;2899;2
AR;St. Francis County;AR;4998;2
AR;Little Rock;AR;2903;2
AR;Bryant;AR;685;2
AR;Van Buren;AR;5406;2
AZ;Tucson;AZ;5316;3
AZ;Flagstaff;AZ;1666;3
AZ;Tucson;AZ;5324;3
AZ;Flagstaff;AZ;1668;3
AZ;Flagstaff;AZ;1669;3
AZ;Tucson;AZ;5317;3
AZ;Tucson;AZ;5325;3
AZ;Flagstaff;AZ;1667;3
AZ;Florence;AZ;1679;3
AZ;Quartzsite;AZ;4293;3
AZ;Red Valley;AZ;4344;3
AZ;Quartzsite;AZ;4292;3
AZ;Tucson;AZ;5320;3
AZ;Chandler;AZ;851;3
AZ;Tucson;AZ;5323;3
AZ;Tucson;AZ;5318;3
AZ;Tucson;AZ;5319;3
AZ;Tucson;AZ;5321;3
AZ;Tucson;AZ;5322;3
AZ;Tucson;AZ;5310;3
AZ;Tucson;AZ;5304;3
AZ;Tucson;AZ;5305;3
AZ;Tuscson;AZ;5367;3
AZ;Chinle;AZ;963;3
AZ;Tucson;AZ;5303;3
AZ;Tucson;AZ;5326;3
AZ;Tucson;AZ;5329;3
AZ;Tucson;AZ;5328;3
AZ;Tucson;AZ;5307;3
AZ;Tucson;AZ;5327;3
AZ;Tucson;AZ;5309;3
AZ;Tucson;AZ;5306;3
AZ;Tucson;AZ;5311;3
AZ;Tucson;AZ;5299;3
AZ;Flagstaff;AZ;1663;3
AZ;Flagstaff;AZ;1662;3
AZ;Flagstaff;AZ;1665;3
AZ;Flagstaff;AZ;1664;3
AZ;Tucson;AZ;5308;3
AZ;Tucson;AZ;5315;3
AZ;Tucson;AZ;5302;3
AZ;Tucson;AZ;5313;3
AZ;Tucson;AZ;5312;3
AZ;Tucson;AZ;5300;3
AZ;Tucson;AZ;5314;3
AZ;Tucson;AZ;5301;3
AZ;Clarkdale;AZ;1007;3
AZ;Cottonwood;AZ;1189;3
AZ;Mesa;AZ;3264;3
AZ;Lake Havasu City;AZ;2668;3
AZ;Scottsdale;AZ;4756;3
AZ;Lake Havasu City;AZ;2669;3
AZ;La Paz County;AZ;2630;3
AZ;Mesa;AZ;3268;3
AZ;Cottonwood;AZ;1190;3
AZ;Mesa;AZ;3267;3
AZ;Mesa;AZ;3265;3
AZ;Mesa;AZ;3266;3
AZ;Surprise;AZ;5132;3
AZ;Surprise;AZ;5131;3
AZ;Scottsdale;AZ;4758;3
AZ;Douglas;AZ;1404;3
AZ;Bullhead City;AZ;701;3
AZ;Sun City;AZ;5118;3
AZ;Mesa;AZ;3262;3
AZ;Mesa;AZ;3263;3
AZ;Scottsdale;AZ;4757;3
AZ;Sun City;AZ;5117;3
AZ;Mesa;AZ;3261;3
AZ;Mesa;AZ;3269;3
AZ;Lake Havasu;AZ;2667;3
AZ;Mesa;AZ;3280;3
AZ;Mesa;AZ;3279;3
AZ;Mesa;AZ;3277;3
AZ;Mesa;AZ;3278;3
AZ;Mesa;AZ;3281;3
AZ;Chandler;AZ;849;3
AZ;Chandler;AZ;850;3
AZ;Chandler;AZ;848;3
AZ;Mesa;AZ;3282;3
AZ;Chandler;AZ;847;3
AZ;Mesa;AZ;3270;3
AZ;San Manuel;AZ;4690;3
AZ;Casa Grande;AZ;804;3
AZ;Casa Grande;AZ;802;3
AZ;Casa Grande;AZ;803;3
AZ;Mesa;AZ;3271;3
AZ;Mesa;AZ;3275;3
AZ;Mesa;AZ;3276;3
AZ;Mesa;AZ;3274;3
AZ;Mesa;AZ;3272;3
AZ;Mesa;AZ;3273;3
AZ;Tempe;AZ;5217;3
AZ;Ehrenberg;AZ;1483;3
AZ;El Mirage;AZ;1488;3
AZ;Kingman;AZ;2586;3
AZ;Salt River Reservation;AZ;4555;3
AZ;Tempe;AZ;5216;3
AZ;Tempe;AZ;5213;3
AZ;Tempe;AZ;5212;3
AZ;Tempe;AZ;5214;3
AZ;Tempe;AZ;5215;3
AZ;Kingman;AZ;2587;3
AZ;Tolleson;AZ;5263;3
AZ;Sierra Vista;AZ;4844;3
AZ;Tonalea;AZ;5267;3
AZ;Somerton;AZ;4883;3
AZ;Bisbee;AZ;543;3
AZ;Three Points;AZ;5247;3
AZ;Show Low;AZ;4831;3
AZ;Kingman;AZ;2585;3
AZ;Morenci;AZ;3459;3
AZ;Noglaes;AZ;3639;3
AZ;Kearny;AZ;2550;3
AZ;Tempe;AZ;5211;3
AZ;Scottsdale;AZ;4760;3
AZ;Buckeye;AZ;687;3
AZ;Scottsdale;AZ;4761;3
AZ;Eagar;AZ;1436;3
AZ;Eagar;AZ;1435;3
AZ;Buckeye;AZ;688;3
AZ;Buckeye;AZ;691;3
AZ;Buckeye;AZ;692;3
AZ;Buckeye;AZ;690;3
AZ;Scottsdale;AZ;4759;3
AZ;Buckeye;AZ;689;3
AZ;Kingman;AZ;2588;3
AZ;Kingman;AZ;2589;3
AZ;Tempe;AZ;5208;3
AZ;Tempe;AZ;5210;3
AZ;Tempe;AZ;5209;3
AZ;Kingman;AZ;2590;3
AZ;Eagar;AZ;1437;3
AZ;Scottsdale;AZ;4762;3
AZ;Kingman;AZ;2591;3
AZ;Sedona;AZ;4790;3
AZ;Sedona;AZ;4789;3
AZ;Phoenix;AZ;4049;3
AZ;Phoenix;AZ;4048;3
AZ;Pinetop-Lakeside;AZ;4136;3
AZ;Phoenix;AZ;4083;3
AZ;Phoenix;AZ;4082;3
AZ;Phoenix;AZ;4081;3
AZ;Pinetop;AZ;4135;3
AZ;Phoenix;AZ;4055;3
AZ;Prescott;AZ;4250;3
AZ;Gilbert;AZ;1893;3
AZ;Gilbert;AZ;1891;3
AZ;Phoenix;AZ;4086;3
AZ;Phoenix;AZ;4050;3
AZ;Peoria;AZ;3991;3
AZ;Prescott;AZ;4249;3
AZ;Phoenix;AZ;4085;3
AZ;Phoenix;AZ;4084;3
AZ;Paulden;AZ;3960;3
AZ;Phoenix;AZ;4097;3
AZ;Avondale;AZ;339;3
AZ;Avondale;AZ;340;3
AZ;Pima County;AZ;4126;3
AZ;Pima;AZ;4125;3
AZ;Phoenix;AZ;4077;3
AZ;Phoenix;AZ;4098;3
AZ;Phoenix;AZ;4078;3
AZ;Marana;AZ;3173;3
AZ;Wilhoit;AZ;5660;3
AZ;Maricopa;AZ;3175;3
AZ;Marana;AZ;3174;3
AZ;Phoenix;AZ;4056;3
AZ;Phoenix;AZ;4079;3
AZ;Phoenix;AZ;4080;3
AZ;Avondale;AZ;338;3
AZ;Phoenix;AZ;4087;3
AZ;Phoenix;AZ;4091;3
