idDirector3;2.l.c.c.d.t.director.2;2.idDirecto2;2.d2.l.c.c.d.t.director.1;2.d2.id_diretor1;2.d2.l.c.c.d.t.director.3;2.d2.teste.l.c.c.d.type;2.d2.teste.l.c.c.d.id_type;2.d2.teste.l.c.c.d.t.show_id;2.d2.teste.l.c.c.d.t.title;2.d2.teste.l.c.c.d.t.director;2.d2.teste.l.c.c.id_directors;2.d2.teste.l.c.c.d.t.cast;2.d2.teste.l.c.id_cast;2.d2.teste.l.c.c.d.t.country;2.d2.teste.l.id_countries;2.d2.teste.l.c.c.d.t.date_added;2.d2.teste.l.c.c.d.t.release_year;2.d2.teste.l.c.c.d.t.rating;2.d2.teste.l.c.c.d.t.duration;2.d2.teste.l.c.c.d.t.listed_in;2.d2.teste.id_listed;2.d2.teste.l.c.c.d.t.description;2.d2.teste.l.c.c.d.t.IMDB_titleID;2.d2.teste.l.c.c.d.t.IMDB_rating;2.d2.teste.l.c.c.d.t.IMDB_rating_votes;2.d2.teste.l.c.c.d.t.IMDB_title_name;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80164032;A Plastic Ocean;N/A;1;Tanya Streeter;8;United Kingdom, Hong Kong;56;43565;2016;TV-PG;100 min;Documentaries;2;When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts.;/title/tt5203824/;8;1926; A Plastic Ocean;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;Movie;0;80231601;The Darkest Dawn;N/A;1;N/A;5;United Kingdom;1;25569;2016;TV-MA;75 min;Action & Adventure, International Movies, Sci-Fi & Fantasy;3;An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.;/title/tt6017594/;4;1495; The Darkest Dawn;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80181555;The Royal House of Windsor;N/A;1;N/A;5;United Kingdom;1;25569;2017;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;4;Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.;/title/tt6596634/;75;718; The Royal House of Windsor;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80240816;Inside The Freemasons;N/A;1;N/A;5;United Kingdom;1;25569;2017;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;4;Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.;/title/tt6743832/;56;269; Inside the Freemasons;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80989924;Greatest Events of WWII in Colour;N/A;1;N/A;5;United Kingdom;1;43688;2019;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;4;From the attack on Pearl Harbor to D-Day, the most pivotal events of World War II come to life in this vivid docuseries featuring colorized footage.;/title/tt9103932/;88;2035; Greatest Events of WWII in Colour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80224314;Mega Food;N/A;1;N/A;5;United Kingdom;1;43806;2013;TV-G;1 Season;British TV Shows, Docuseries, International TV Shows;4;Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen.;/title/tt2716758/;66;58; Mega Food;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80199032;Paul Hollywood's Big Continental Road Trip;N/A;1;Paul Hollywood;31;United Kingdom;1;25569;2017;TV-14;1 Season;British TV Shows, Docuseries, International TV Shows;4;Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.;/title/tt7936386/;76;98; Paul Hollywood's Big Continental Road Trip;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;81029301;Botched Up Bodies;N/A;1;Charlie Brooks, Sue Johnston;106;United Kingdom;1;43506;2013;TV-MA;1 Season;British TV Shows, Docuseries, International TV Shows;4;From lifting saggy skin to repairing shoddy breast enhancements, plastic surgeons tackle extreme fixer-uppers.;/title/tt4883194/;62;77; Botched Up Bodies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;80063658;The Code;N/A;1;Marcus du Sautoy;210;United Kingdom;1;43102;2011;TV-PG;1 Season;British TV Shows, Docuseries, International TV Shows;4;In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself.;/title/tt3914672/;75;3393; The Code;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3000;N/A;2002;N/A;2;N/A;TV Show;1;81032659;Monty Don's Italian Gardens;N/A;1;Monty Don;340;United Kingdom;1;25569;2011;TV-G;1 Season;British TV Shows, Docuseries, International TV Shows;4;From horticultural hideaways to luxurious botanical displays, TV personality Monty Don explores the history behind Italy’s most extraordinary gardens.;/title/tt2078263/;83;184; Monty Don's Italian Gardens;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
