2.a.2.2.l.c.c.d.t.cast.32;cast32;2.a.2.2.l.c.c.d.t.cast.31;cast31;2.a.2.2.l.c.c.d.t.cast.30;cast30;2.a.2.2.l.c.c.d.t.cast.29;cast28;2.a.2.2.l.c.c.d.t.cast.28;cast28.1;2.a.2.2.l.c.c.d.t.cast.27;cast27;2.a.2.2.l.c.c.d.t.cast.26;cast26;2.a.2.2.l.c.c.d.t.cast.25;cast25;2.a.2.2.l.c.c.d.t.cast.24;cast24;2.a.2.2.l.c.c.d.t.cast.23;cast23;2.a.2.2.l.c.c.d.t.cast.22;cast22;2.a.2.2.l.c.c.d.t.cast.21;cast21;2.a.2.2.l.c.c.d.t.cast.20;cast20;2.a.2.2.l.c.c.d.t.cast.19;cast19;2.a.2.2.l.c.c.d.t.cast.18;cast18;2.a.2.2.l.c.c.d.t.cast.17;cast17;2.a.2.2.l.c.c.d.t.cast.16;cast16;2.a.2.2.l.c.c.d.t.cast.15;cast15;2.a.2.2.l.c.c.d.t.cast.14;cast14;2.a.2.2.l.c.c.d.t.cast.13;cast13;2.a.2.2.l.c.c.d.t.cast.12;cast12;2.a.2.2.l.c.c.d.t.cast.11;cast11;2.a.2.2.l.c.c.d.t.cast.10;cast10;2.a.2.2.l.c.c.d.t.cast.9;cast9;2.a.2.2.l.c.c.d.t.cast.8;cats8;2.a.2.2.l.c.c.d.t.cast.5;cast5;2.a.2.2.l.c.c.d.t.cast.6;cast6;a.2.2.l.c.c.d.t.cast.4;cast4;2.2.2.l.c.c.d.t.cast.3;2.cast3;2.a.2.l.c.c.d.t.cast.2;2.a.cast2;2.a.2.l.c.c.d.t.cast.1;2.a.2.cast1;l.c.c.d.type;l.c.c.d.id_type;l.c.c.d.t.show_id;l.c.c.d.t.title;l.c.c.d.t.director;l.c.c.id_directors;l.c.c.d.t.cast;l.c.id_cast;l.c.c.d.t.country;l.id_countries;l.c.c.d.t.date_added;l.c.c.d.t.release_year;l.c.c.d.t.rating;l.c.c.d.t.duration;l.c.c.d.t.listed_in;id_listed;l.c.c.d.t.description;l.c.c.d.t.IMDB_titleID;l.c.c.d.t.IMDB_rating;l.c.c.d.t.IMDB_rating_votes;l.c.c.d.t.IMDB_title_name
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Emiri Kato;11670; Kana Asumi;11638; Chie Matsuura;11583; Miyuki Sawashiro;11514; Hiroki Touchi;11408; Yumiko Kobayashi;11301; Eiichiro Tokumoto;11082; Michael Rivas;10873; Hiro Masuda;10305; Yui Makino;9780; Fuko Saito;8708; Ryohei Kimura;7809; Takahiro Mizushima;6446; Eri Kitamura;4853; Kana Hanazawa;3718; Harumi Sakurai;2283;Hiroshi Kamiya;842;TV Show;1;70201870;Angel Beats!;N/A;1;Hiroshi Kamiya, Harumi Sakurai, Kana Hanazawa, Eri Kitamura, Ryohei Kimura, Takahiro Mizushima, Shun Takagi, Fuko Saito, Yui Makino, Hiro Masuda, Michael Rivas, Eiichiro Tokumoto, Yumiko Kobayashi, Hiroki Touchi, Miyuki Sawashiro, Chie Matsuura, Kana Asumi, Emiri Kato;347;Japan;67;25569;2010;TV-14;1 Season;Anime Series, International TV Shows;64;In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.;/title/tt1639109/;77;10064; Angel Beats!
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Andree Vermeulen;11665; Victor Rasuk;11645; Charlotte Newhouse;11571; Sonoya Mizuno;11530; Elizabeth Masucci;11386; Todd Louiso;11328; Nicole Byer;11046; Angelique Cabral;10930; Mindy Sterling;10213; Camryn Manheim;9895; Melonie Diaz;8569; Jay Mohr;7983; Beau Bridges;6630; Chace Crawford;4661; Kate del Castillo;3910; Common;2493;Mary Elizabeth Winstead;1055;Movie;0;81019338;All About Nina;Eva Vives;915;Mary Elizabeth Winstead, Common, Kate del Castillo, Chace Crawford, Jay Mohr, Beau Bridges, Clea DuVall, Melonie Diaz, Camryn Manheim, Mindy Sterling, Angelique Cabral, Nicole Byer, Todd Louiso, Elizabeth Masucci, Sonoya Mizuno, Charlotte Newhouse, Victor Rasuk, Andree Vermeulen;1371;United States;3;25569;2018;R;101 min;Comedies, Dramas, Independent Movies;129;Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty.;/title/tt7542576/;6;1505; All About Nina
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645; Sam Neill;11663; Luke Hemsworth;11647; Zachary Levi;11567; Ray Stevenson;11535; Tadanobu Asano;11379; Clancy Brown;11337; Rachel House;11032; Taika Waititi;10948; Benedict Cumberbatch;10183; Anthony Hopkins;9930; Mark Ruffalo;8522; Jeff Goldblum;8036; Tessa Thompson;6689; Idris Elba;4596; Cate Blanchett;3975; Tom Hiddleston;2564;Chris Hemsworth;1131;Movie;0;80186608;Thor: Ragnarok;Taika Waititi;1037;Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Luke Hemsworth, Sam Neill;1497;United States;3;43226;2017;PG-13;131 min;Action & Adventure, Comedies, Sci-Fi & Fantasy;146;To save Asgard from a bloodthirsty goddess of death, the mighty Thor will have to battle his way to freedom and find a way back home.;/title/tt3501632/;79;530316; Thor: Ragnarok
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; Makoto Awane;11654; Nozomi Kameda;11556; Kazuya Nakai;11551; Mitsuki Saiga;11362; Yu Kitada;11355; Satomi Sato;11006; Kaito Ishikawa;10992; Toshiyuki Morikawa;10086; Atsushi Goto;10058; Shintaro Tanaka;8324; Minoru Inaba;8291; Ami Koshimizu;6943; Hiroki Touchi;4312; Asami Seto;4273; Yuki Kaji;2874;Hiroaki Hirata;1463;TV Show;1;80097594;B: The Beginning;N/A;1;Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane;274;Japan;67;43134;2018;TV-MA;1 Season;Anime Series, Crime TV Shows, International TV Shows;257;"Genius investigator Keith Flick rejoins the royal police force just as serial killer B"""" emerges. Mysterious youth Koku may be an ally""";/title/tt7944664/;72;2907; B: The Beginning
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; Paulo Avelino;11651; Ronnie Lazaro;11561; Ketchup Eusebio;11544; Leo Martinez;11370; Bing Pimentel;11347; Mylene Dizon;11016; Alvin Anson;10975; Jeffrey Quizon;10128; Lorenz Martinez;9648; Nonie Buencamino;8888; Archie Alemania;7553; Art Acuña;6187; Joem Bascon;5140; Arron Villaflor;3429; Mon Confiado;1982;John Arcilla;558;Movie;0;80084834;Heneral Luna;Jerrold Tarog;205;John Arcilla, Mon Confiado, Arron Villaflor, Joem Bascon, Archie Alemania, Art Acuña, Alex Medina, Nonie Buencamino, Lorenz Martinez, Jeffrey Quizon, Alvin Anson, Mylene Dizon, Bing Pimentel, Leo Martinez, Ketchup Eusebio, Ronnie Lazaro, Paulo Avelino;594;Philippines;131;25569;2015;R;118 min;Dramas, International Movies;36;Flashbacks reveal Gen. Antonio Luna's tireless fight for Filipino independence from the U.S. and his leadership in the Philippine-American War in 1899.;/title/tt4944352/;77;1736; Heneral Luna
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; Michael Madsen;11642; Michael Clarke Duncan;11575; Brittany Murphy;11526; Jaime King;11394; Josh Hartnett;11241; Alexis Bledel;11165; Devon Aoki;10744; Powers Boothe;10560; Rutger Hauer;9463; Elijah Wood;9150; Rosario Dawson;7243; Benicio Del Toro;5882; Clive Owen;5467; Jessica Alba;3112; Mickey Rourke;1693;Bruce Willis;319;Movie;0;70021630;Sin City;Robert Rodriguez, Frank Miller;356;Bruce Willis, Mickey Rourke, Jessica Alba, Clive Owen, Rosario Dawson, Benicio Del Toro, Nick Stahl, Elijah Wood, Rutger Hauer, Powers Boothe, Devon Aoki, Alexis Bledel, Josh Hartnett, Jaime King, Brittany Murphy, Michael Clarke Duncan, Michael Madsen;771;United States;3;43475;2005;R;124 min;Action & Adventure;23;In these intertwined tales, an ex-con avenges a hooker's death, a gumshoe gets mixed up with dangerous vixens, and a cop saves a dancer from a rapist.;/title/tt0401792/;8;724578; Sin City
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; David Ojalvo;11639; Alejandro Otero;11581; Juan Manuel Restrepo;11516; Guillermo Blanco;11405; María José Vargas;11305; Mariana Gómez;11076; Sebastián Silva;10880; Kiño;10294; Mariana Garzón;9796; Diana Wiswell;8686; Mabel Moreno;7837; Luis Alfredo Velasco;6475; Adriana Arango;4819; Andrés Sandoval;3750; Carlos Torres;2321;Carolina Ramírez;878;TV Show;1;81022683;The Queen of Flow;N/A;1;Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kiño, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo;149;Colombia;5;43354;2018;TV-14;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;72;Seventeen years after being wrongly imprisoned, a talented songwriter seeks justice against the men who caused her downfall and killed her family.;/title/tt8560918/;77;417; The Queen of Flow
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; Nutnicha Lueanganankhun;11635; Kunchanuj Kengkarnka;11586; Apasiri Kittithanon;11511; Piyathida Woramusik;11411; Claudia Chakrapan;11298; Awat Ratanapintha;11085; Anuchit Sapanpong;10870; Ekawat Niratvorapanya;10309; Morakot Liu;9776; Chanicha Boonpanuvichit;8713; Chonnikan Netjui;7799; Nutthasit Kotimanuswanich;6436; Thitinan Khlangphet;4863; Pajaree Nantarat;3706; Thanawetch Siriwattanakul;2271;Chicha Amatayakul;831;TV Show;1;80241947;Girl from Nowhere;N/A;1;Chicha Amatayakul, Thanawetch Siriwattanakul, Pajaree Nantarat, Thitinan Khlangphet, Chonnikan Netjui, Nutthasit Kotimanuswanich, Tatchapol Thitiapichai, Chanicha Boonpanuvichit, Morakot Liu, Ekawat Niratvorapanya, Anuchit Sapanpong, Awat Ratanapintha, Claudia Chakrapan, Piyathida Woramusik, Apasiri Kittithanon, Kunchanuj Kengkarnka, Nutnicha Lueanganankhun;217;Thailand;43;43111;2018;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries;63;A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.;/title/tt4554186/;38;170; Girl from Nowhere
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; Kari Wahlgren;11634; Stephen Tobolowsky;11587; Mindy Sterling;11510; Kevin Michael Richardson;11413; Brennan Murray;11214; Patty Mattson;11205; Erica Luttrell;10684; David Koechner;10667; Evan Kishiyama;9335; Peter Hastings;9308; Dayci Brookshire;6976; Clancy Brown;5695; Sean Astin;5670; Ramone Hamilton;2905; Jay Gragnani;1493;Nat Faxon;2;Movie;0;81021976;The Spooky Tale of Captain Underpants Hack-a-ween;N/A;1;Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren;6;United States;3;43687;2019;TV-Y7;46 min;Children & Family Movies, Comedies;0;When Melvin tries to cancel Halloween, clever best friends Harold and George create their own spooky holiday – and it's a huge success!;/title/tt10945060/;63;73; The Spooky Tale of Captain Underpants Hack-a-Ween
;11905;;11895;;11884;;11873;;11862;;11851;;11840;;11829;;11815;;11800;;11711;;11693;;11672;;11645;;11657; John Salthouse;11619; Richard Hope;11606; Del Synnott;11479; Nicholas Murchie;11452; Jack Gordon;11233; James Wilby;11179; James Fox;10718; Tim Pigott-Smith;10606; Nick Moran;9408; Robert Glenister;9219; Neil Maskell;7164; Jack Roth;5804; Martin Compston;5549; Paul Anderson;3028; Jim Broadbent;1619;Luke Evans;265;TV Show;1;70304244;The Great Train Robbery;N/A;1;Luke Evans, Jim Broadbent, Paul Anderson, Martin Compston, Neil Maskell, Jack Roth, George Costigan, Robert Glenister, Nick Moran, Tim Pigott-Smith, James Fox, James Wilby, Jack Gordon, Nicholas Murchie, Del Synnott, Richard Hope, John Salthouse;260;United Kingdom;1;25569;2013;NR;1 Season;British TV Shows, Crime TV Shows, International TV Shows;14;This two-part tale delivers the true story of the Great Train Robbery of 1963, the biggest one in England's history.;/title/tt0079240/;69;14837; The Great Train Robbery
